Year,Month,Day,Hour,Minute,Second,Date (ISO Format),Station Latitude,Station Longitude,Station Elevation,Timestamp (Epoch),ZWD Observation,Satellite Azimuth,Satellite Elevation,Temperature (°C),Pressure (hPa),Humidity (%),Actual Measured PW
2023,2,1,23,0,0,2023-02-01T23:00:00,0.448,9.412,40,1675292400,2285.775,348.7,15.0,26.07,1008.94,91.37,48.77
2023,1,31,9,0,0,2023-01-31T09:00:00,76.537,-68.703,46,1675155600,2263.2,74.3,49.2,-2.22,1004.02,55.76,4.17
2023,2,12,11,0,0,2023-02-12T11:00:00,46.877,7.465,956,1676199600,2135.182,149.8,69.4,5.42,963.13,61.27,8.34
2023,4,4,3,0,0,2023-04-04T03:00:00,30.033,31.233,234,1680577200,2253.642,91.0,18.9,17.56,996.98,25.22,4.61
2023,1,10,23,0,0,2023-01-10T23:00:00,46.877,7.465,956,1673391600,2107.809,351.6,16.3,4.37,951.01,67.11,13.85
2023,1,16,18,0,0,2023-01-16T18:00:00,-25.953,28.077,1400,1673892000,1832.608,280.9,38.7,22.92,852.14,45.85,17.08
2023,2,28,14,0,0,2023-02-28T14:00:00,-29.046,115.347,250,1677592800,2219.095,339.2,79.2,29.59,986.36,41.96,38.6
2023,2,18,17,0,0,2023-02-18T17:00:00,-29.046,115.347,250,1676739600,2199.205,31.0,38.9,22.02,985.54,57.88,17.1
2023,1,3,5,0,0,2023-01-03T05:00:00,-5.28,-35.955,15,1672722000,2289.093,36.6,53.4,25.96,1011.28,79.43,44.62
2023,3,25,4,0,0,2023-03-25T04:00:00,-15.947,-47.928,1107,1679716800,2303.76,23.6,42.1,23.4,1014.14,72.68,25.67
2023,3,29,20,0,0,2023-03-29T20:00:00,-5.932,106.917,25,1680120000,2302.788,61.2,23.2,26.38,1009.45,87.47,54.39
2023,1,29,11,0,0,2023-01-29T11:00:00,-5.932,106.917,25,1674990000,2299.598,258.8,54.7,27.67,1008.45,80.49,59.52
2023,3,8,20,0,0,2023-03-08T20:00:00,38.921,-77.066,85,1678305600,2275.026,234.7,40.7,17.51,1007.21,66.17,16.11
2023,4,17,3,0,0,2023-04-17T03:00:00,-29.046,115.347,250,1681700400,2277.056,154.6,32.8,22.63,997.18,38.64,12.59
2023,3,23,9,0,0,2023-03-23T09:00:00,13.021,77.572,844,1679562000,1986.474,225.0,72.1,32.77,912.64,28.11,23.49
2023,2,26,14,0,0,2023-02-26T14:00:00,30.033,31.233,234,1677420000,2281.453,214.6,71.6,22.43,1007.19,31.93,7.54
2023,3,23,4,0,0,2023-03-23T04:00:00,-5.28,-35.955,15,1679544000,2271.92,359.3,20.4,25.41,1010.04,86.09,53.28
2023,2,14,3,0,0,2023-02-14T03:00:00,-66.284,110.52,50,1676343600,2172.978,129.2,21.7,-1.4,967.95,77.13,8.85
2023,2,18,5,0,0,2023-02-18T05:00:00,38.921,-77.066,85,1676696400,2330.322,334.7,45.3,10.46,1026.72,89.42,17.12
2023,4,7,7,0,0,2023-04-07T07:00:00,0.448,9.412,40,1680850800,2288.14,116.8,62.4,26.26,1007.52,85.39,55.98
2023,4,1,18,0,0,2023-04-01T18:00:00,30.033,31.233,234,1680372000,2270.11,311.4,37.8,19.97,1007.11,31.92,11.23
2023,1,14,9,0,0,2023-01-14T09:00:00,40.649,16.705,287,1673686800,2230.558,143.1,49.2,9.93,990.03,75.21,13.79
2023,3,17,8,0,0,2023-03-17T08:00:00,-15.947,-47.928,1107,1679040000,2325.627,82.8,62.1,23.55,1014.23,78.76,27.92
2023,2,16,22,0,0,2023-02-16T22:00:00,50.799,4.36,150,1676584800,2320.192,332.0,10.8,10.65,1014.05,86.95,17.7
2023,4,28,13,0,0,2023-04-28T13:00:00,46.877,7.465,956,1682686800,2083.035,180.8,71.4,17.92,945.95,73.53,23.5
2023,1,17,13,0,0,2023-01-17T13:00:00,30.033,31.233,234,1673960400,2278.884,254.2,65.0,19.79,1010.06,40.91,12.81
2023,2,25,11,0,0,2023-02-25T11:00:00,-25.953,28.077,1400,1677322800,1805.517,220.1,68.2,30.08,850.2,34.21,16.89
2023,3,26,23,0,0,2023-03-26T23:00:00,16.883,-25.083,20,1679871600,2186.508,307.5,11.6,30.32,975.78,10.99,15.61
2023,1,15,5,0,0,2023-01-15T05:00:00,-25.953,28.077,1400,1673758800,1812.801,77.0,24.1,19.14,855.23,73.65,15.5
2023,2,14,15,0,0,2023-02-14T15:00:00,13.021,77.572,844,1676386800,1997.069,309.2,55.9,22.74,917.03,40.88,12.08
2023,3,2,7,0,0,2023-03-02T07:00:00,-5.932,106.917,25,1677740400,2308.025,214.8,44.7,26.59,1012.81,84.85,59.45
2023,1,1,21,0,0,2023-01-01T21:00:00,-29.046,115.347,250,1672606800,2208.061,66.8,21.1,20.26,984.08,45.36,19.2
2023,2,28,9,0,0,2023-02-28T09:00:00,49.144,12.879,625,1677574800,2110.577,177.5,65.1,-1.94,953.37,64.9,6.44
2023,2,25,9,0,0,2023-02-25T09:00:00,46.877,7.465,956,1677315600,2055.136,119.0,64.7,5.69,936.39,87.71,9.43
2023,3,24,4,0,0,2023-03-24T04:00:00,76.537,-68.703,46,1679630400,2286.101,355.7,28.4,-7.97,1011.56,71.56,3.16
2023,4,29,6,0,0,2023-04-29T06:00:00,0.448,9.412,40,1682748000,2281.01,113.7,55.7,25.27,1011.05,92.62,58.29
2023,1,16,0,0,0,2023-01-16T00:00:00,49.144,12.879,625,1673827200,2078.402,348.2,30.8,-0.17,935.67,88.45,6.38
2023,1,31,1,0,0,2023-01-31T01:00:00,-66.284,110.52,50,1675126800,2150.548,107.9,29.0,-3.01,965.92,74.5,3.34
2023,4,15,5,0,0,2023-04-15T05:00:00,-43.967,-176.55,147,1681534800,2303.789,235.7,50.6,12.62,1014.51,92.96,20.99
2023,4,20,14,0,0,2023-04-20T14:00:00,-5.932,106.917,25,1681999200,2299.35,336.4,72.3,28.04,1009.52,80.35,58.5
2023,4,13,23,0,0,2023-04-13T23:00:00,-15.947,-47.928,1107,1681426800,2308.661,302.8,10.0,22.64,1016.34,70.98,21.41
2023,1,29,2,0,0,2023-01-29T02:00:00,40.649,16.705,287,1674957600,2219.344,21.2,11.7,4.35,986.98,90.13,10.27
2023,1,16,6,0,0,2023-01-16T06:00:00,50.799,4.36,150,1673848800,2192.516,122.9,50.2,4.8,975.25,88.27,13.17
2023,3,6,10,0,0,2023-03-06T10:00:00,30.033,31.233,234,1678096800,2291.552,152.4,80.6,21.62,1007.59,40.98,14.25
2023,3,30,4,0,0,2023-03-30T04:00:00,38.921,-77.066,85,1680148800,2310.041,347.3,43.6,14.41,1015.21,80.56,15.27
2023,4,15,5,0,0,2023-04-15T05:00:00,40.649,16.705,287,1681534800,2184.283,69.2,48.7,7.53,980.35,80.36,11.2
2023,2,19,16,0,0,2023-02-19T16:00:00,26.209,50.586,10,1676822400,2333.749,268.5,51.8,16.63,1023.17,61.29,13.99
2023,2,5,17,0,0,2023-02-05T17:00:00,76.537,-68.703,46,1675616400,2229.246,168.4,54.3,-1.15,997.03,65.78,4.23
2023,2,14,2,0,0,2023-02-14T02:00:00,-66.284,110.52,50,1676340000,2176.822,160.2,31.6,-1.68,968.42,78.08,8.7
2023,3,12,22,0,0,2023-03-12T22:00:00,-5.28,-35.955,15,1678658400,2292.419,287.9,19.8,27.36,1011.63,76.3,45.65
2023,3,8,12,0,0,2023-03-08T12:00:00,38.921,-77.066,85,1678276800,2281.279,73.5,61.0,20.23,1007.03,54.45,23.66
2023,3,11,10,0,0,2023-03-11T10:00:00,76.537,-68.703,46,1678528800,2262.143,58.8,63.7,-8.44,1004.61,80.49,2.31
2023,1,3,2,0,0,2023-01-03T02:00:00,0.448,9.412,40,1672711200,2278.52,48.1,37.8,24.57,1007.94,93.88,56.95
2023,2,22,0,0,0,2023-02-22T00:00:00,46.877,7.465,956,1677024000,2105.009,3.4,23.3,2.54,945.69,88.75,11.39
2023,4,24,10,0,0,2023-04-24T10:00:00,26.209,50.586,10,1682330400,2273.748,197.2,62.9,26.97,1007.11,78.94,24.87
2023,4,18,9,0,0,2023-04-18T09:00:00,-15.947,-47.928,1107,1681808400,2317.233,93.4,48.9,23.29,1014.24,75.11,30.46
