Station ID,Year,Month,Day,Hour,Minute,Second,Date (ISO Format),Station Latitude,Station Longitude,Station Elevation,Timestamp (Epoch),ZWD Observation,Satellite Azimuth,Satellite Elevation,Temperature (°C),Pressure (hPa),Humidity (%)
SEJN00KOR,2025,9,8,13,53,2,2025-09-08T13:53:02.000Z,36.522,127.303,181.2,1757339582,14.51,166,23,6.4,1006.9,67
SEJN00KOR,2025,9,7,13,53,7,2025-09-07T13:53:07.000Z,36.522,127.303,181.2,1757253187,13.87,346,61,11.5,1012.4,51
SEJN00KOR,2025,9,6,13,53,9,2025-09-06T13:53:09.000Z,36.522,127.303,181.2,1757166789,22.68,101,33,12.1,1019.2,58
SEJN00KOR,2025,9,5,13,53,13,2025-09-05T13:53:13.000Z,36.522,127.303,181.2,1757080393,15.36,233,10,11.3,1004.4,55
SEJN00KOR,2025,9,4,13,53,15,2025-09-04T13:53:15.000Z,36.522,127.303,181.2,1756993995,5.69,204,87,8.9,1018.4,68
SEJN00KOR,2025,9,3,13,53,18,2025-09-03T13:53:18.000Z,36.522,127.303,181.2,1756907598,10.93,39,28,5.0,1014.1,53
SEJN00KOR,2025,9,2,13,53,21,2025-09-02T13:53:21.000Z,36.522,127.303,181.2,1756821201,11.60,226,7,6.5,1018.9,58
SEJN00KOR,2025,9,1,13,53,24,2025-09-01T13:53:24.000Z,36.522,127.303,181.2,1756734804,16.92,192,72,9.3,1014.9,50
SEJN00KOR,2025,8,31,13,53,28,2025-08-31T13:53:28.000Z,36.522,127.303,181.2,1756648408,12.29,285,2,10.0,1007.7,66
SEJN00KOR,2025,8,30,13,53,31,2025-08-30T13:53:31.000Z,36.522,127.303,181.2,1756562011,6.80,268,17,12.4,1012.5,52
SEJN00KOR,2025,8,29,13,53,33,2025-08-29T13:53:33.000Z,36.522,127.303,181.2,1756475613,5.56,153,89,13.2,1014.1,47
